,Predicted
2017-01-27,252.744201847
2017-01-28,252.764822276
2017-01-29,252.860480831
2017-01-30,252.891885309
2017-01-31,252.947667734
2017-02-01,252.99633268
2017-02-02,253.042624551
2017-02-03,253.090736783
2017-02-04,253.13797241
2017-02-05,253.185425208
2017-02-06,253.232950719
2017-02-07,253.280429962
2017-02-08,253.327948303
2017-02-09,253.375469371
2017-02-10,253.422997828
2017-02-11,253.470536976
2017-02-12,253.518084065
2017-02-13,253.565640269
2017-02-14,253.613205428
2017-02-15,253.660779452
2017-02-16,253.708362431
2017-02-17,253.755954329
2017-02-18,253.803555154
2017-02-19,253.85116491
2017-02-20,253.898783596
2017-02-21,253.946411214
2017-02-22,253.994047767
2017-02-23,254.041693256
2017-02-24,254.089347682
2017-02-25,254.137011048
2017-02-26,254.184683354
